serial_number,state,mp_name,constituency,allocated_amount_inr,record_type
1,Maharashtra,AASHTIKAR PATIL NAGESH BAPURAO,HINGOLI,190289442.0,mp_constituency_allocation
2,Jammu And Kashmir,ABDUL RASHID SHEIKH,BARAMULLAH,154773472.11,mp_constituency_allocation
3,Bihar,ABHAY KUMAR SINHA,AURANGABAD_BR,147000000.0,mp_constituency_allocation
4,West Bengal,ABHIJIT GANGOPADHYAY,TAMLUK,147000000.0,mp_constituency_allocation
5,West Bengal,Abu Taher Khan,MURSHIDABAD,147000000.0,mp_constituency_allocation
6,West Bengal,ADHIKARI SOUMENDU,KANTHI,147000000.0,mp_constituency_allocation
7,Uttar Pradesh,ADITYA YADAV,BADAUN,147000000.0,mp_constituency_allocation
8,Kerala,Adv Adoor Prakash,ATTINGAL,147000000.0,mp_constituency_allocation
9,Kerala,Adv Dean Kuriakose,IDUKKI,147000000.0,mp_constituency_allocation
10,Maharashtra,ADV GOWAAL KAGADA PADAVI,NANDURBAR(ST),147816309.11,mp_constituency_allocation
11,Kerala,ADV K FRANCIS GEORGE,KOTTAYAM,188722256.11,mp_constituency_allocation
12,Uttar Pradesh,AFZAL ANSARI,GHAZIPUR,220500000.0,mp_constituency_allocation
13,Jammu And Kashmir,AGA SYED RUHULLAH MEHDI,SRINAGAR,147000000.0,mp_constituency_allocation
14,Uttarakhand,Ajay Bhatt,NAINITAL UDHAM SINGH NAG.,147000000.0,mp_constituency_allocation
15,Bihar,Ajay Kumar Mandal,BHAGALPUR,147000000.0,mp_constituency_allocation
16,Uttarakhand,Ajay Tamta,ALMORA(SC),147000000.0,mp_constituency_allocation
17,Uttar Pradesh,AJENDRA SINGH LODHI,HAMIRPUR_UP,147000000.0,mp_constituency_allocation
18,Uttar Pradesh,AKHILESH YADAV,KANNAUJ,147000000.0,mp_constituency_allocation
19,Uttar Pradesh,AKSHAYA YADAV,FIROZABAD,147000000.0,mp_constituency_allocation
20,Manipur,ALFRED KANNGAM S ARTHUR,OUTER MANIPUR(ST),147000000.0,mp_constituency_allocation
21,Bihar,Alok Kumar Suman,GOPALGANJ (SC),147000000.0,mp_constituency_allocation
22,Madhya Pradesh,ALOK SHARMA,BHOPAL,147000000.0,mp_constituency_allocation
23,Maharashtra,AMAR SHARADRAO KALE,WARDHA,147000000.0,mp_constituency_allocation
24,Assam,AMARSING TISSO,Diphu (ST),147000000.0,mp_constituency_allocation
25,Andhra Pradesh,AMBICA G LAKSHMINARAYANA VALMIKI,ANANTAPUR,201899064.11,mp_constituency_allocation
26,Maharashtra,Amol Ramsing Kolhe,SHIRUR,147000000.0,mp_constituency_allocation
27,Rajasthan,AMRARAM,SIKAR,165691544.11,mp_constituency_allocation
28,Punjab,AMRINDER SINGH RAJA WARRING,LUDHIANA,147000000.0,mp_constituency_allocation
29,Uttar Pradesh,ANAND BHADAURIYA,DHAURAHRA,147000000.0,mp_constituency_allocation
30,Uttar Pradesh,ANAND KUMAR,BAHRAICH(SC),147000000.0,mp_constituency_allocation
31,Odisha,ANANTA NAYAK,KEONJHAR(ST),147000000.0,mp_constituency_allocation
32,Tamil Nadu,Andimuthu Raja,NILGIRIS(SC),147000000.0,mp_constituency_allocation
33,Meghalaya,ANDREW J. SYNGKON,SHILLONG,98000000.0,mp_constituency_allocation
34,Manipur,ANGOMCHA BIMOL AKOIJAM,INNER MANIPUR,147000000.0,mp_constituency_allocation
35,Uttarakhand,ANIL BALUNI,GARHWAL,147000000.0,mp_constituency_allocation
36,Maharashtra,ANIL YESHWANT DESAI,MUMBAI SOUTH CENTRAL,147000000.0,mp_constituency_allocation
37,Madhya Pradesh,ANITA NAGARSINGH CHOUHAN,RATLAM(ST),147000000.0,mp_constituency_allocation
38,Odisha,ANITA SUBHADARSHINI,ASKA,147000000.0,mp_constituency_allocation
39,Jharkhand,Annpurna Devi,KODARMA,166665931.8,mp_constituency_allocation
40,Uttar Pradesh,ANOOP PRADHAN BALMIKI,HATHRAS (SC),147000000.0,mp_constituency_allocation
41,Kerala,Anto Antony,PATHANAMTHITTA,147000000.0,mp_constituency_allocation
42,Maharashtra,ANUP SANJAY DHOTRE,AKOLA,147000000.0,mp_constituency_allocation
43,Uttar Pradesh,Anurag Sharma,JHANSI,147000000.0,mp_constituency_allocation
44,Himachal Pradesh,Anurag Singh Thakur,HAMIRPUR_HP,149570117.11,mp_constituency_allocation
45,Andhra Pradesh,Appalanaidu Kalisetti,VIZIANAGARAM,147000000.0,mp_constituency_allocation
46,Bihar,ARUN BHARTI,JAMUI(SC),194924621.11,mp_constituency_allocation
47,Uttar Pradesh,ARUN GOVIL,MEERUT,147000000.0,mp_constituency_allocation
48,Tamil Nadu,ARUN NEHRU,PERAMBALUR,147000000.0,mp_constituency_allocation
49,Telangana,ARUNA. D. K,MAHABUBNAGAR,147000000.0,mp_constituency_allocation
50,West Bengal,ARUP CHAKRABORTY,BANKURA,147000000.0,mp_constituency_allocation
51,Telangana,Arvind Dharmapuri,NIZAMABAD,281396355.11,mp_constituency_allocation
52,Maharashtra,Arvind Ganpat Sawant,MUMBAI SOUTH,147000000.0,mp_constituency_allocation
53,Telangana,Asaduddin Owaisi,HYDERABAD,147000000.0,mp_constituency_allocation
54,Madhya Pradesh,ASHISH DUBEY,JABALPUR,147000000.0,mp_constituency_allocation
55,Uttar Pradesh,Ashok Kumar Rawat,MISRIKH(SC),147000000.0,mp_constituency_allocation
56,Bihar,Ashok Kumar Yadav,MADHUBANI,147000000.0,mp_constituency_allocation
57,West Bengal,Asit Kumar Mal,BOLPUR(SC),275694456.74,mp_constituency_allocation
58,Uttar Pradesh,ATUL GARG,GHAZIABAD,155336470.0,mp_constituency_allocation
59,Odisha,AVIMANYU SETHI,BHADRAK(SC),147000000.0,mp_constituency_allocation
60,Uttar Pradesh,AWADHESH PRASAD,FAIZABAD,147000000.0,mp_constituency_allocation
61,West Bengal,AZAD KIRTI JHA,BARDHAMAN-DURGAPUR,179658399.98,mp_constituency_allocation
62,Andhra Pradesh,B K PARTHASARATHI,HINDUPUR,160491894.11,mp_constituency_allocation
63,Uttar Pradesh,BABU SINGH KUSHWAHA,JAUNPUR,147000000.0,mp_constituency_allocation
64,Maharashtra,BACHHAV SHOBHA DINESH,DHULE,147000000.0,mp_constituency_allocation
65,West Bengal,BAG MITALI,ARAMBAG(SC),147000000.0,mp_constituency_allocation
66,Odisha,BAIJAYANT PANDA,KENDRAPARA,147000000.0,mp_constituency_allocation
67,Maharashtra,BAJRANG MANOHAR SONWANE,BEED,165899107.19,mp_constituency_allocation
68,Odisha,BALABHADRA MAJHI,NABARANGPUR(ST),147413962.11,mp_constituency_allocation
