serial_number,state,expenditure_2016_17_reported_a_rs_crore,completed_works_2016_17_reported_a,expenditure_2016_17_reported_b_rs_crore,completed_works_2016_17_reported_b,expenditure_2018_19_rs_crore,completed_works_2018_19,expenditure_2019_20_rs_crore,completed_works_2019_20,record_type
1.0,A & N Islands,4.74,11,4.77,19,13.56,27,1.29,0,state_aggregate
2.0,Andhra Pradesh,172.8,5206,184.04,4780,202.26,3888,116.04,3542,state_aggregate
3.0,Arunachal Pradesh,15.47,314,14.31,215,18.14,377,3.33,63,state_aggregate
4.0,Assam,102.1,3108,111.06,2784,97.36,2121,32.9,748,state_aggregate
5.0,Bihar,345.2,5391,422.23,7670,411.45,5142,172.24,3955,state_aggregate
6.0,Chandigarh,4.51,29,8.59,37,10.71,97,1.16,9,state_aggregate
7.0,Chhattisgarh,107.05,3099,109.83,2091,101.23,2123,39.31,1168,state_aggregate
8.0,D & N Haveli,4.88,2,4.51,12,6.34,30,1.94,5,state_aggregate
9.0,Daman & Diu,0.0,0,0.0,0,13.95,24,1.51,0,state_aggregate
10.0,Delhi,32.32,50,56.69,171,94.64,417,43.39,331,state_aggregate
11.0,Goa,14.4,143,10.81,62,21.59,90,8.19,97,state_aggregate
12.0,Gujarat,196.07,8205,169.87,6281,282.79,11351,135.47,4844,state_aggregate
13.0,Haryana,66.09,1295,90.2,1709,90.61,1833,46.18,1198,state_aggregate
14.0,Himachal Pradesh,35.12,980,33.08,1135,37.26,1767,9.36,134,state_aggregate
15.0,Jammu & Kashmir,41.22,1224,46.38,1526,60.84,1324,28.53,985,state_aggregate
16.0,Jharkhand,102.89,2777,84.66,2262,108.61,2766,49.14,1179,state_aggregate
17.0,Karnataka,180.29,3322,207.73,4002,219.29,3307,107.57,1719,state_aggregate
18.0,Kerala,159.59,2352,137.71,2064,205.07,2477,110.79,1991,state_aggregate
19.0,Lakshadweep,5.35,0,7.59,13,3.81,2,0.0,0,state_aggregate
20.0,Madhya Pradesh,204.36,6032,215.52,6353,239.56,7587,120.02,4586,state_aggregate
21.0,Maharashtra,304.37,6075,302.47,5787,393.02,5962,247.67,5458,state_aggregate
22.0,Manipur,10.62,87,15.63,58,16.01,176,12.6,228,state_aggregate
23.0,Meghalaya,12.67,317,13.15,234,13.38,101,9.86,315,state_aggregate
24.0,Mizoram,9.36,113,11.33,221,7.37,194,8.7,154,state_aggregate
25.0,Nagaland,11.04,32,12.68,75,7.5,35,4.89,32,state_aggregate
26.0,Nominated,47.3,523,60.48,373,61.7,353,32.36,157,nominated_summary
27.0,Odisha,172.51,7669,143.98,4897,164.76,7917,63.86,3138,state_aggregate
28.0,Puducherry,12.23,95,7.84,55,18.34,42,6.02,61,state_aggregate
29.0,Punjab,111.48,3575,88.12,5838,109.32,4158,33.67,1722,state_aggregate
30.0,Rajasthan,161.14,2060,177.23,2786,188.24,2997,100.53,1983,state_aggregate
31.0,Sikkim,10.51,27,12.33,196,9.41,60,6.03,137,state_aggregate
32.0,Tamil Nadu,289.02,4961,317.54,3300,353.91,4916,220.21,2414,state_aggregate
33.0,Telangana,102.38,3455,124.28,3839,104.59,3331,68.12,2195,state_aggregate
34.0,Tripura,10.15,72,15.88,179,19.55,170,2.52,21,state_aggregate
35.0,Uttar Pradesh,503.59,13244,483.89,17216,920.88,21703,236.7,8304,state_aggregate
36.0,Uttarakhand,39.21,1741,35.88,1381,37.26,1151,31.08,1460,state_aggregate
37.0,West Bengal,304.34,4704,338.39,4752,347.82,5151,123.1,2613,state_aggregate
,Total,3906.37,92290,4080.68,94373,5012.13,105167,2236.28,56946,total_summary
